State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
OH,36,612,false,false,35,230.6,1,90.61,317.3,46,11.83,466.4,82,15.98,13.3,9,7.24,9,true
IL,167,335,true,true,15,446.9,125,35.71,349.3,133,27.55,416.1,169,76.69,9.6,16,7.05,7,false
TX,113,9,false,false,46,349.2,18,52.38,479.9,62,52.8,109.5,181,55.62,17.2,16,9.53,0,false
AR,187,341,true,true,35,431.0,132,2.5,0.3,24,50.17,59.2,99,79.77,9.3,3,4.8,7,true
MI,166,156,false,true,36,173.2,64,39.02,324.1,200,23.43,439.2,113,0.69,19.4,9,5.89,9,true
PA,190,124,false,false,35,185.3,115,90.54,481.9,177,69.61,478.9,12,47.25,13.9,1,3.8,3,false
UT,14,745,false,true,22,214.5,34,17.82,341.0,165,52.55,119.6,47,81.84,3.1,18,8.88,1,false
NV,91,575,false,false,28,427.2,38,93.6,446.2,102,43.62,157.3,188,21.94,12.4,6,8.31,5,false
TX,187,349,true,false,3,489.6,158,29.34,178.9,12,1.18,495.2,87,65.46,10.3,8,1.12,0,true
FL,157,195,false,true,5,416.8,65,65.82,427.6,52,9.12,437.3,29,84.27,16.0,19,0.72,10,false
MN,47,465,true,false,2,142.4,57,26.42,234.2,74,56.84,61.9,91,7.58,17.0,3,6.42,7,true
MO,38,706,true,false,37,354.1,22,81.86,154.7,35,94.44,45.8,67,84.38,5.5,17,2.13,5,false
AL,88,467,false,false,37,307.8,191,27.01,220.2,57,55.21,158.3,128,63.16,18.3,19,0.3,3,false
FL,21,149,true,true,43,223.2,34,93.24,113.4,76,36.22,242.5,101,5.68,1.5,15,9.22,9,false
LA,55,787,true,false,34,20.4,146,47.9,141.8,9,53.63,493.1,12,46.17,2.4,12,3.22,1,false
VA,135,154,false,false,42,366.9,172,5.9,452.9,17,39.44,432.1,172,96.85,19.1,18,3.13,0,true
TX,174,472,false,false,13,472.8,170,32.42,378.2,30,46.61,114.7,102,72.6,16.1,1,1.44,5,false
NV,47,871,false,false,24,4.7,65,86.18,240.4,31,0.68,457.5,191,67.79,6.9,7,8.12,4,true
CA,68,332,true,false,27,76.7,93,73.29,360.2,129,90.72,302.1,123,73.9,9.3,16,8.24,6,true
AL,186,972,false,false,36,372.1,132,92.06,260.1,163,11.02,412.1,127,23.55,15.2,0,7.93,4,false
NJ,86,528,false,false,44,352.6,100,4.92,143.2,95,95.94,151.8,79,43.54,17.7,4,4.32,6,false
AR,194,134,false,true,15,467.7,127,56.29,114.0,182,39.24,385.5,77,72.31,9.0,9,4.7,6,false
MN,48,414,true,false,13,111.8,2,67.11,346.1,81,84.84,0.3,137,9.46,14.8,0,3.13,10,false
NJ,100,867,true,true,24,118.6,80,83.2,232.9,178,84.75,28.6,164,18.22,10.7,2,8.05,7,true
VA,159,651,true,false,0,399.4,22,12.82,251.7,22,44.23,285.5,22,96.97,0.2,0,9.47,2,true
CO,80,102,true,false,27,478.6,156,53.43,94.6,94,2.37,261.5,167,78.94,17.0,19,5.83,7,false
CA,12,992,true,false,12,381.7,154,9.63,445.6,152,43.17,498.2,17,22.87,12.3,11,8.63,3,false
FL,100,821,false,false,36,77.7,145,91.27,378.5,4,55.0,430.9,136,24.28,18.5,2,2.24,10,false
IN,124,12,true,false,36,400.4,14,70.37,279.9,79,47.02,113.7,159,46.67,15.7,7,8.89,9,true
CA,169,87,false,false,1,291.0,157,56.39,445.4,184,50.39,394.7,144,72.6,11.4,10,6.38,2,false
VA,143,340,true,true,25,134.1,36,68.81,369.6,125,51.71,97.9,193,12.75,18.1,1,2.48,3,true
KY,96,457,true,false,3,230.8,112,1.55,201.5,148,84.38,195.2,84,98.06,1.3,18,3.5,9,false
WV,78,573,false,true,50,38.8,173,1.51,416.5,57,83.27,167.2,33,20.83,5.5,0,6.39,9,true
OR,64,870,true,true,1,27.5,186,27.3,425.4,63,74.09,117.8,46,99.24,6.0,5,1.16,2,true
SC,128,261,false,false,6,183.9,84,56.15,74.4,27,88.85,497.5,180,94.85,17.8,15,0.12,8,true
MI,37,0,false,false,8,259.6,137,18.06,469.2,61,70.83,342.6,98,16.93,7.9,4,7.22,0,false
CA,138,153,false,true,26,348.8,23,26.2,82.8,40,93.69,339.3,156,18.77,8.3,19,8.84,4,true
MS,45,160,false,true,12,383.5,128,24.65,455.4,45,26.73,92.6,108,90.53,14.4,20,3.1,1,true
MA,176,621,true,true,37,260.4,9,32.72,155.2,170,40.11,165.5,126,91.53,19.8,18,1.27,5,true
NY,129,635,false,false,8,494.6,159,21.26,61.3,195,31.93,239.6,110,68.13,2.3,12,3.93,6,false
OH,51,388,true,false,11,247.7,170,70.92,425.1,190,17.31,195.1,38,42.15,8.3,15,9.8,4,true
FL,114,639,true,false,2,319.5,63,40.14,387.9,126,47.87,221.4,151,37.6,19.8,5,1.52,10,true
FL,3,720,false,true,47,418.0,177,79.93,81.0,78,69.62,300.7,3,37.16,14.3,14,1.72,9,false
WI,7,584,false,true,8,57.1,80,89.54,386.5,81,4.56,275.1,115,20.36,7.3,20,5.29,3,true
SC,31,765,true,true,15,89.4,195,33.05,438.5,49,24.57,289.9,164,83.76,6.6,19,9.0,2,true
NJ,183,41,false,false,32,236.5,148,34.42,384.3,93,14.21,277.7,123,71.66,18.2,13,6.46,7,true
CA,62,392,true,false,7,13.5,162,94.6,212.7,128,77.42,198.3,114,18.8,18.8,9,3.97,0,false
FL,99,789,true,false,27,58.6,51,77.39,290.3,112,43.13,352.4,141,21.13,6.5,20,5.69,3,true
MA,39,788,false,false,44,315.3,140,1.18,36.9,16,31.11,438.3,129,49.68,11.7,16,1.71,3,false
VA,77,215,true,true,2,217.9,8,14.43,129.1,112,96.06,130.5,134,57.97,15.3,18,2.43,8,false
AZ,169,488,false,false,40,351.0,129,24.42,438.1,2,47.3,37.3,97,7.72,15.8,10,2.77,4,false
CO,191,738,true,true,41,300.7,138,47.19,479.4,178,31.72,320.7,146,82.0,12.8,8,7.91,0,false
NC,44,605,false,true,17,465.1,138,26.57,438.9,142,78.37,140.9,61,40.84,9.2,10,6.25,3,true
NY,17,830,false,true,23,427.2,134,53.24,126.8,194,5.06,364.8,80,32.86,16.6,20,7.02,5,true
LA,172,130,false,true,25,449.5,55,31.38,245.0,136,52.19,219.1,110,10.33,9.5,2,7.71,8,true
WV,195,683,false,false,22,147.9,177,58.8,13.2,180,20.06,7.0,53,93.55,1.5,19,0.91,1,true
TX,116,630,false,false,3,494.7,6,31.96,156.2,81,96.35,289.6,118,72.66,6.3,13,4.85,6,true
CA,30,64,false,true,25,149.6,68,77.86,371.9,187,91.6,321.2,140,75.09,3.7,17,9.9,9,true
OR,26,573,false,false,38,162.4,161,81.59,229.9,56,16.67,62.9,84,39.79,19.6,13,9.12,7,false
NY,103,993,false,true,16,10.7,16,4.23,397.1,142,96.08,14.7,170,82.27,13.1,10,5.2,5,false
MA,98,480,false,false,29,146.6,24,27.21,494.1,36,20.23,232.9,82,47.53,14.2,15,8.55,2,false
NM,141,237,false,false,0,254.5,30,82.84,263.6,36,10.39,219.2,50,66.92,15.5,7,1.63,7,false
CT,33,43,false,false,33,463.0,38,13.52,226.9,91,24.82,161.6,62,43.07,9.6,5,8.8,5,true
LA,127,884,false,false,12,131.7,173,18.24,182.5,126,75.37,111.2,29,99.74,7.7,9,6.75,4,true
DC,37,638,false,true,44,235.0,154,9.42,461.5,180,34.85,339.8,175,2.46,14.7,5,0.22,8,true
MN,187,892,true,true,13,0.3,93,27.86,75.1,149,25.77,233.8,188,0.24,1.1,13,0.12,9,true
CA,125,439,true,true,18,84.0,59,91.67,126.6,166,52.79,444.5,127,72.99,3.8,10,6.97,6,true
DC,179,867,false,true,11,122.0,1,0.57,417.2,64,44.32,172.4,181,67.13,1.4,20,4.03,10,true
OK,190,537,true,true,9,210.7,60,50.87,401.9,157,79.96,366.2,81,30.56,2.4,6,7.69,7,true
NY,97,749,true,false,15,393.9,164,77.31,181.0,105,48.72,206.0,199,28.86,15.6,7,2.18,8,true
PA,189,495,true,false,5,78.5,150,19.31,51.3,125,34.75,325.5,113,61.41,1.8,8,7.98,2,true
AZ,100,940,false,true,11,344.1,40,65.79,41.1,137,89.78,223.8,156,83.7,2.9,20,5.04,7,true
NY,67,871,true,true,29,369.3,88,22.65,74.0,15,26.03,279.4,152,52.45,11.5,19,4.31,8,false
WI,125,492,true,false,22,312.5,44,3.81,117.2,144,6.07,373.1,0,45.39,17.0,3,3.77,4,true
IL,192,441,false,true,8,60.0,152,98.7,312.2,170,73.26,487.9,95,61.35,10.1,1,1.41,1,true
FL,150,694,true,false,14,464.4,30,50.52,223.1,93,25.68,468.8,116,28.1,11.0,14,7.44,9,true
CA,199,443,true,true,41,209.6,126,16.42,204.1,40,88.61,471.6,119,68.69,8.5,14,7.43,10,false
IN,94,970,false,true,47,337.7,57,83.32,261.2,8,85.97,325.5,25,36.29,3.7,18,9.59,1,false
NY,162,391,false,true,12,274.2,142,83.88,367.0,36,67.09,447.9,133,56.54,0.7,8,8.86,10,true
TX,17,922,true,false,42,221.4,198,39.06,182.4,61,60.05,161.7,191,43.1,1.5,14,7.15,9,false
WI,171,532,false,false,11,14.2,137,87.95,113.4,65,54.34,146.4,51,85.99,12.1,8,4.24,9,true
NY,134,773,false,true,31,474.3,62,3.31,150.7,141,7.78,209.9,120,94.83,11.5,0,3.69,9,false
IL,89,415,true,true,16,169.0,37,21.02,136.7,181,20.2,206.3,19,50.89,17.7,13,3.01,10,true
AL,1,600,true,true,18,252.2,23,23.26,33.8,172,5.54,290.6,74,29.22,15.0,10,4.84,0,false
IN,1,917,true,true,32,283.2,180,86.57,128.5,54,84.95,426.2,10,8.86,2.0,1,5.38,9,false
DC,59,334,false,false,1,89.6,87,25.12,248.3,69,18.93,397.6,195,39.38,9.2,14,4.23,9,true
TX,50,500,true,false,45,438.1,138,65.65,271.8,2,61.53,252.7,158,61.26,11.9,17,3.93,4,true
KS,94,610,true,true,7,303.8,98,79.16,245.5,0,4.81,428.1,121,56.76,13.0,20,0.67,0,true
FL,176,774,false,false,26,146.3,76,50.47,373.5,33,11.5,447.8,61,30.02,18.2,4,0.97,8,true
OK,61,646,true,false,26,489.0,14,85.98,319.7,4,9.79,329.8,175,8.59,7.1,3,8.73,3,true
IN,184,587,false,true,17,238.6,32,26.93,252.3,54,19.12,213.7,83,4.62,12.5,14,1.23,1,false
NY,175,934,true,false,8,92.4,65,35.06,453.7,177,82.9,42.4,97,87.12,2.0,10,9.49,8,false
NE,36,738,true,true,33,220.0,30,37.24,196.2,2,83.15,369.9,146,2.91,13.0,9,5.51,6,true
IA,195,979,true,false,25,114.9,181,42.07,187.1,94,74.33,125.1,133,58.29,14.9,3,7.79,10,true
AL,175,761,false,true,11,234.7,110,38.03,258.7,60,5.33,200.9,114,46.65,8.3,17,5.12,9,true
CT,35,901,false,false,17,476.3,103,46.49,396.3,173,92.8,408.7,75,11.86,9.4,9,1.96,3,true
MN,11,869,true,false,24,397.1,41,9.54,48.2,30,38.09,317.1,152,22.96,11.7,13,5.62,6,false
TX,82,887,false,true,14,52.6,141,26.43,313.8,82,27.43,64.7,76,94.9,0.4,1,3.98,7,true
MI,163,832,false,false,4,61.2,190,87.57,82.8,111,72.37,334.5,22,62.78,3.3,6,6.98,4,false
CA,95,376,false,true,23,231.5,65,95.77,275.4,21,66.03,192.4,134,80.67,6.2,18,3.45,2,false
NY,74,907,false,false,12,222.4,52,66.46,105.2,188,77.11,401.7,91,22.93,0.1,6,6.85,0,true
MO,198,112,false,false,37,282.7,192,56.27,458.9,88,71.24,145.5,86,29.29,7.5,6,7.53,1,false
MN,120,990,false,false,32,145.8,169,7.67,430.8,138,65.68,38.8,145,21.11,2.3,13,5.52,2,false
NC,173,433,false,false,27,84.7,10,59.15,180.2,195,25.45,415.4,145,37.53,14.8,11,3.57,6,true
CA,14,46,false,true,42,191.0,57,55.84,310.5,148,89.69,79.5,156,70.36,7.3,16,7.57,7,false
FL,36,760,true,false,48,304.4,73,26.44,346.1,19,73.94,8.7,23,30.66,17.0,18,0.71,1,true
VA,179,902,false,true,47,204.6,190,65.03,105.4,71,88.33,81.3,76,51.91,12.8,16,7.35,4,false
OH,153,461,true,true,50,58.6,50,31.5,182.1,183,86.89,209.3,185,98.84,14.2,14,0.22,5,false
GA,96,153,false,false,13,338.7,188,22.46,25.6,90,34.29,36.3,166,31.86,9.9,19,6.53,8,true
TX,32,331,false,false,21,116.4,180,73.98,354.1,154,29.57,318.0,39,59.5,8.9,11,9.06,6,false
WA,85,620,true,true,34,178.4,98,6.91,427.0,153,63.09,413.6,193,29.67,18.2,4,6.76,5,false
VA,158,203,false,false,22,439.1,34,89.03,446.9,174,55.87,288.7,162,34.32,0.0,16,7.63,6,true
NJ,172,61,false,true,24,420.5,137,23.77,133.3,192,94.09,353.7,56,77.69,8.3,2,9.68,9,true
CA,15,10,true,true,18,365.4,161,73.86,384.4,106,6.73,246.7,61,44.42,17.3,2,2.71,5,false
IN,159,749,false,false,13,413.4,40,98.28,226.4,137,67.41,451.7,51,50.34,16.5,11,9.73,4,true
TX,100,595,false,false,31,344.2,100,32.76,113.4,123,47.59,48.5,3,96.56,18.9,4,1.84,3,true
FL,81,148,true,true,38,183.8,191,68.9,31.5,173,36.47,190.4,122,37.51,12.5,0,8.39,1,false
CT,89,685,true,false,16,69.8,49,40.39,438.6,64,80.21,388.4,133,24.02,16.6,16,6.03,3,false
KS,32,49,true,false,3,61.0,90,71.14,170.2,78,79.74,401.0,145,37.93,18.4,10,5.4,10,true
CA,15,944,true,true,33,477.0,184,66.55,191.5,61,48.29,56.8,174,9.8,12.5,11,8.44,5,true
NM,129,962,false,false,30,412.0,80,15.67,252.7,158,4.71,211.2,109,73.48,10.1,12,1.35,1,true
GA,78,629,false,false,13,207.7,33,84.86,214.6,57,66.22,352.1,33,66.75,0.3,16,8.89,1,true
CA,27,413,false,true,15,158.6,25,84.03,26.9,138,89.51,432.9,114,61.16,1.7,8,5.17,9,false
LA,190,471,true,true,17,0.5,115,4.97,248.1,70,46.78,316.7,110,75.02,4.0,18,4.79,9,false
MI,22,373,false,true,0,91.5,194,17.95,90.0,111,4.98,297.8,33,92.56,0.7,0,0.72,0,true
CA,48,346,false,true,25,229.1,199,79.54,52.8,74,8.18,111.3,181,10.7,5.5,9,9.05,7,false
DC,62,822,true,false,35,446.0,151,15.19,442.6,80,30.85,172.8,72,60.9,16.5,14,2.22,6,true
MN,39,760,false,true,44,245.6,46,62.68,110.6,184,34.26,396.7,166,20.97,10.9,2,2.25,2,true
PA,140,588,true,true,34,56.8,143,73.12,246.6,100,66.1,390.0,14,5.73,12.5,17,3.35,3,true
FL,128,771,false,false,24,313.5,160,56.79,35.1,74,55.82,0.2,46,31.4,17.9,2,4.94,4,true
VA,48,125,false,false,16,371.9,7,89.37,473.5,38,96.47,411.6,49,78.69,3.1,9,9.26,4,false
NC,53,614,false,false,35,78.4,43,59.38,286.2,85,87.07,371.9,178,51.89,15.0,14,2.76,0,false
CA,33,596,false,false,5,166.6,140,74.57,276.7,15,49.5,253.8,54,46.73,5.7,1,4.67,4,true
AK,52,50,true,true,10,212.1,68,34.18,498.7,198,39.44,3.6,0,43.61,12.7,5,2.33,9,false
AZ,73,79,true,false,22,144.2,189,96.11,77.6,52,13.59,234.6,70,49.11,17.2,17,4.07,5,true
MI,89,293,false,false,34,452.4,27,52.14,28.1,101,35.33,453.0,13,32.47,2.1,12,3.93,7,true
FL,97,766,true,false,13,433.6,111,75.67,368.5,140,40.4,196.4,26,70.11,8.0,8,6.49,3,false
TX,14,51,false,true,14,35.6,143,19.72,266.1,181,68.56,19.2,154,83.21,3.8,1,5.12,7,true
TX,181,120,false,false,49,140.9,111,90.53,399.8,189,69.63,273.5,106,45.5,18.3,2,5.52,4,true
CA,139,904,true,true,33,217.9,101,43.01,189.4,147,50.98,227.4,76,18.06,12.2,12,9.23,0,false
IN,127,222,false,true,16,42.8,5,84.6,274.5,51,70.37,293.1,85,74.32,5.5,6,6.59,9,true
PA,83,244,true,true,17,92.9,74,98.42,439.1,146,82.01,266.7,4,35.24,13.1,20,3.53,7,true
FL,28,737,true,false,17,399.4,196,36.12,35.2,185,38.6,72.8,24,21.99,14.1,18,3.3,7,true
FL,31,630,false,false,40,112.1,146,23.48,193.8,144,69.37,263.9,169,24.41,15.5,1,8.85,9,false
TX,149,982,false,false,41,284.4,21,17.85,498.7,119,63.56,421.3,166,91.3,7.8,9,6.35,3,false
NC,97,793,false,true,24,415.1,196,32.5,130.6,45,7.21,150.9,144,16.16,8.2,11,3.21,6,false
NY,107,502,false,true,22,444.0,141,63.9,96.4,14,87.26,40.0,93,28.38,17.1,5,1.62,5,true
AL,184,91,true,true,22,55.1,29,79.95,70.9,106,85.53,0.6,193,35.68,13.5,0,5.27,2,false
ID,74,81,false,true,36,52.0,162,30.89,382.6,10,31.66,186.2,94,78.11,5.3,9,4.29,1,true
GA,177,948,false,false,38,199.6,45,96.53,9.1,79,33.18,270.2,92,36.54,8.4,15,6.4,4,true
MO,94,332,true,true,41,235.4,10,33.07,236.6,21,92.17,275.0,79,92.04,3.6,5,5.22,6,false
NV,181,486,true,false,48,454.5,65,97.06,140.5,74,3.28,184.6,9,11.78,12.4,9,6.76,7,false
MI,49,342,false,true,11,219.3,29,15.94,122.4,82,68.02,253.1,198,63.3,11.8,19,5.63,3,true
CA,112,920,true,true,21,108.9,199,42.03,62.9,169,85.67,187.8,0,12.89,2.0,9,3.1,0,false
IN,125,998,false,true,3,430.8,183,83.88,379.0,187,71.44,95.6,64,69.97,0.4,5,1.93,9,false
NV,143,196,false,false,32,301.3,153,43.46,167.2,100,82.9,466.9,183,89.23,2.0,4,2.13,10,false
CA,143,320,false,true,48,48.1,61,43.18,214.5,195,66.36,184.2,21,95.8,9.1,18,9.13,0,true
KS,53,734,true,true,3,74.9,190,89.2,383.6,92,21.46,270.3,187,4.43,19.6,3,7.64,1,true
IL,185,445,false,true,37,312.3,103,79.75,445.8,191,22.78,474.9,69,40.41,3.6,8,0.61,4,true
FL,177,678,false,false,45,169.4,126,28.51,276.6,5,34.21,84.9,91,90.04,16.1,15,8.98,1,false
FL,28,734,true,true,43,395.4,57,14.36,3.1,186,59.07,439.9,73,75.74,3.4,14,5.8,7,false
GA,53,257,false,false,3,95.3,158,83.27,483.0,183,7.38,469.1,45,18.88,10.3,0,5.36,10,true
FL,188,381,true,false,3,100.8,95,8.89,448.6,60,87.63,313.0,108,84.8,9.4,11,5.23,3,true
OK,133,521,true,false,38,255.6,127,63.0,310.0,16,54.76,448.4,133,46.2,16.5,0,3.21,8,false
AZ,186,931,true,false,18,480.2,1,54.84,486.1,189,12.65,27.7,58,35.27,7.7,17,6.41,0,true
CA,80,119,true,true,33,407.0,135,17.79,310.0,8,54.41,150.7,50,65.18,0.7,8,7.21,1,false
DC,102,433,false,false,25,236.7,186,75.12,139.8,157,20.16,166.7,19,65.66,8.6,12,9.29,1,true
