State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
,162,968,true,true,3,174.2,129,64.97,56.1,151,12.88,138.4,94,13.74,15.3,8,2.69,4,false
,2,170,true,false,34,438.2,128,5.78,117.2,87,3.81,302.6,48,72.89,8.1,1,3.44,8,false
,126,977,true,true,4,390.8,57,40.18,278.5,97,1.5,200.7,83,97.05,4.4,3,9.02,7,false
,163,143,false,true,2,243.6,143,90.03,332.8,132,69.18,29.3,65,8.12,15.8,19,1.0,9,true
,31,680,true,true,12,128.9,17,84.28,242.5,45,49.44,367.5,56,24.32,13.4,19,4.66,7,false
,194,464,false,false,36,149.4,99,0.78,198.5,199,95.94,140.1,124,41.55,14.1,7,9.21,9,false
,198,718,true,false,18,256.2,195,39.76,457.3,51,10.6,260.2,178,31.27,3.1,9,0.57,1,true
,137,929,false,false,28,291.1,162,41.7,302.4,112,17.43,101.2,37,53.76,19.9,15,7.22,8,false
05,73,759,true,false,46,137.0,93,46.4,160.9,179,43.24,380.8,123,32.49,5.5,15,3.39,10,true
,31,89,false,false,43,173.7,111,62.61,197.1,5,97.82,16.2,92,69.89,19.3,0,1.79,0,false
MEX,73,192,false,false,1,483.2,57,54.63,478.7,0,28.18,443.7,66,92.02,13.9,9,0.63,9,true
1084,130,191,false,false,6,45.4,2,89.6,219.5,49,42.23,369.3,22,89.02,12.3,9,9.87,0,true
,167,704,true,true,15,324.6,144,93.84,25.0,15,79.55,107.6,4,40.36,11.1,12,0.19,1,false
,137,989,false,false,32,452.8,81,88.32,232.0,179,27.5,382.3,156,4.09,9.8,19,1.81,7,true
,55,443,true,true,4,220.6,128,48.44,132.4,62,48.33,332.4,84,56.72,14.3,17,7.36,9,false
,171,408,true,false,29,107.1,150,61.03,97.9,80,49.16,376.8,129,28.45,3.4,8,9.16,10,true
,71,97,true,true,24,311.7,182,17.76,55.5,180,59.41,278.4,75,59.48,12.3,14,9.16,4,true
VER,6,385,true,false,48,316.1,107,84.72,209.4,192,86.44,491.3,159,64.91,15.0,12,6.61,0,true
,53,826,false,false,8,181.9,27,4.69,125.7,110,7.69,161.8,89,96.35,14.2,14,7.22,0,false
,21,481,false,true,18,471.7,153,51.06,291.8,174,27.67,217.0,145,28.31,7.0,14,0.34,0,true
,126,795,true,true,37,377.0,99,35.53,425.3,150,24.88,345.2,27,19.11,12.0,5,8.97,4,false
,105,984,true,false,50,492.3,185,96.08,242.0,137,3.04,259.5,191,58.0,5.9,14,9.36,10,false
,4,515,true,true,45,157.2,189,85.04,442.2,140,31.73,39.1,129,53.54,15.0,13,3.68,6,true
,125,573,true,true,42,222.6,35,23.51,119.3,171,12.37,34.8,102,12.92,5.5,5,1.27,3,false
,78,862,false,false,37,0.1,161,74.25,471.0,146,71.02,80.0,156,13.16,0.6,7,4.62,1,true
,43,513,false,false,39,480.6,181,24.93,95.9,185,9.54,214.8,44,3.24,15.5,1,5.84,8,true
,13,62,true,false,33,163.3,44,85.11,260.4,71,70.03,54.2,176,82.37,15.2,12,0.7,0,true
,24,809,false,false,3,116.4,143,35.12,380.7,174,10.08,113.7,41,67.26,20.0,19,0.17,8,true
,66,413,false,false,16,204.2,200,2.29,102.5,67,79.63,440.4,153,3.72,3.1,2,9.93,6,true
,70,854,false,false,2,260.2,118,21.4,20.6,53,30.1,344.4,128,84.55,1.8,14,6.99,8,false
,76,91,true,false,10,376.3,4,64.34,88.2,16,25.98,470.9,79,79.78,9.8,15,0.22,9,true
BW,151,581,false,true,22,332.6,42,23.29,181.7,48,86.82,130.5,146,58.76,1.9,19,8.77,2,false
O,21,764,true,false,18,72.7,123,42.86,290.1,172,30.45,197.5,171,28.51,14.0,5,5.89,4,true
,92,120,false,true,3,291.9,189,59.38,118.5,86,19.14,38.1,142,98.92,12.0,17,5.84,4,true
,41,847,false,true,36,331.4,101,74.35,62.2,95,44.11,114.6,178,84.39,1.1,1,7.24,3,false
,158,496,false,false,31,146.2,63,68.88,485.0,143,63.39,380.1,199,4.64,7.6,12,2.18,3,true
,53,980,true,true,32,90.8,24,56.1,341.7,54,73.95,273.4,27,95.08,17.6,6,2.48,10,false
,1,848,true,false,33,416.5,114,22.36,285.3,110,17.24,64.0,130,52.94,19.1,11,5.29,1,false
MD,60,437,false,true,42,456.3,116,12.63,117.3,142,59.79,104.7,158,68.14,19.7,17,4.46,3,false
,83,707,false,false,34,395.1,89,68.46,382.3,124,52.5,399.7,152,98.15,18.4,15,7.59,2,false
,110,110,false,false,44,456.8,103,12.66,18.9,72,1.08,382.7,15,6.76,10.6,12,5.69,10,true
,14,563,true,true,18,250.6,194,14.43,266.2,34,5.66,123.5,2,42.07,15.4,16,3.98,4,false
,44,849,true,false,40,347.1,168,44.59,129.4,49,30.69,287.5,44,17.46,18.7,11,1.63,0,true
,105,44,false,true,7,369.7,93,33.09,345.0,186,62.77,374.5,179,46.12,6.0,13,7.96,0,true
A3,37,823,true,true,28,461.5,98,15.68,363.2,184,33.69,422.2,13,9.48,10.6,12,5.43,7,false
,188,897,true,false,15,113.3,55,19.52,433.8,32,98.61,379.5,125,90.68,16.7,10,1.56,5,false
,56,313,false,true,0,201.8,3,65.3,21.4,78,45.78,55.4,56,36.03,16.2,9,5.49,4,false
,157,549,false,false,42,368.0,60,28.79,374.3,4,37.18,444.6,159,14.93,13.4,1,2.68,3,true
,49,119,true,true,3,198.9,46,84.71,454.8,166,44.34,274.6,30,84.28,8.4,7,3.19,5,true
BD,79,716,true,true,46,253.0,76,3.59,71.3,190,16.42,413.0,191,0.1,13.6,19,4.88,9,false
,51,773,false,true,43,101.0,176,84.33,287.4,176,34.03,141.6,136,35.42,13.8,6,3.74,1,true
,198,229,false,true,34,316.1,154,54.32,126.3,9,45.41,172.0,180,2.38,1.6,11,9.21,3,false
,104,945,false,true,10,123.2,62,78.7,285.0,21,1.43,249.3,166,28.35,11.5,20,9.4,8,true
,126,701,true,true,29,271.9,0,97.88,153.0,62,19.48,98.4,110,15.53,16.7,17,4.44,9,false
,50,566,true,false,3,316.4,175,9.93,73.4,5,52.56,373.7,103,77.64,15.6,3,0.59,8,true
,66,965,false,false,38,15.0,168,56.36,316.0,130,38.52,168.6,32,74.04,11.0,6,9.49,5,true
,73,174,true,false,23,419.1,28,24.38,412.1,196,69.4,201.3,121,11.57,6.8,2,2.68,10,true
,75,314,true,false,19,228.3,47,43.85,22.2,194,6.92,46.1,120,41.28,3.0,5,3.53,3,true
,59,702,false,true,8,22.5,119,57.12,40.5,53,67.89,250.9,36,96.13,4.4,19,5.64,0,false
,195,148,true,true,38,231.5,6,45.25,312.3,39,72.78,350.6,73,93.87,13.4,3,3.87,8,false
,71,884,true,false,12,293.8,129,54.36,289.6,75,5.78,211.5,103,19.06,18.1,16,2.72,8,false
,110,916,false,false,5,439.3,103,87.71,145.3,98,13.25,88.3,200,43.64,6.8,18,5.66,6,false
,56,513,true,false,12,55.8,88,28.28,253.0,113,18.62,100.5,156,85.54,5.0,1,7.3,6,false
,146,327,false,true,10,428.1,50,44.65,355.0,164,27.47,281.2,22,95.54,12.3,18,9.86,5,true
,109,574,true,true,29,264.7,57,3.21,174.6,64,90.29,308.3,110,64.78,8.7,15,4.47,9,false
,26,13,false,false,26,415.5,30,17.99,76.4,27,50.41,51.8,84,32.72,12.4,13,0.25,9,false
,9,864,false,false,38,379.0,21,13.99,269.7,72,41.79,208.4,22,11.69,9.9,4,2.18,8,true
AB,180,751,false,true,13,279.7,119,77.98,135.1,160,13.6,465.6,25,45.21,1.5,3,3.35,1,true
,146,179,true,false,2,430.2,36,61.68,157.0,11,61.77,318.7,21,31.96,16.6,4,2.99,1,false
,86,914,true,true,39,131.0,13,76.75,238.5,95,81.91,435.1,85,91.79,7.3,10,4.34,6,true
,125,352,true,false,14,167.5,37,3.47,139.3,122,8.86,8.2,82,81.93,18.7,13,4.8,8,true
,113,234,true,false,24,259.2,119,97.71,315.1,77,35.11,465.8,78,97.63,2.7,4,2.1,6,true
,79,794,false,false,6,492.6,130,57.4,99.6,70,57.02,215.9,70,98.3,3.2,20,7.18,10,true
,66,79,true,true,43,331.9,154,26.89,496.9,126,89.28,463.5,136,5.08,12.8,3,6.77,9,false
,185,412,true,false,14,246.1,99,4.06,167.8,160,43.93,237.4,130,99.58,10.2,14,2.53,1,true
,175,636,true,false,8,107.7,159,77.32,435.2,133,42.37,36.5,56,66.98,12.9,3,9.08,1,false
,174,883,false,false,26,19.2,71,94.09,276.2,25,85.44,381.5,125,87.46,7.6,2,2.58,4,true
,140,949,true,true,20,362.5,173,20.92,228.4,97,10.81,405.9,14,64.05,12.7,4,1.41,6,true
,9,592,true,false,5,358.2,106,70.09,266.7,24,20.51,339.9,28,48.83,18.4,14,5.05,5,false
,191,345,true,true,24,320.4,163,8.44,490.4,60,51.04,384.3,33,88.64,1.0,15,3.23,3,true
,143,56,false,false,33,477.8,162,80.47,283.3,101,67.37,414.9,4,0.31,9.7,17,6.26,4,true
,86,891,true,true,13,405.1,187,21.71,264.4,59,74.27,460.7,127,3.86,3.2,10,6.51,3,false
,3,280,true,true,37,491.8,46,44.08,214.8,138,29.91,301.5,30,59.57,2.1,2,6.29,2,true
,139,381,true,false,10,86.4,106,97.16,359.2,96,24.0,92.2,183,56.66,2.5,14,8.95,0,false
,149,704,false,false,20,440.1,158,51.84,109.1,151,94.53,355.4,92,73.07,18.5,14,1.48,7,true
A5,78,365,true,true,42,124.6,19,27.95,149.1,151,28.95,414.2,75,35.21,4.8,15,5.25,6,false
,164,272,false,true,23,103.0,186,80.83,61.3,49,27.85,255.9,63,27.45,17.7,3,3.08,6,true
,124,316,false,true,47,236.1,161,92.9,484.6,92,23.64,88.2,196,99.01,1.9,17,2.8,3,true
,141,963,true,true,26,141.6,8,74.37,81.0,147,87.92,50.3,121,67.86,16.7,13,7.6,10,false
,115,514,true,false,45,196.5,99,60.5,412.1,88,53.23,210.9,10,89.45,7.4,3,6.95,6,true
B3,198,731,false,true,42,453.8,52,55.38,390.4,137,24.52,373.4,4,4.41,10.4,1,4.13,4,false
,93,321,true,true,30,247.9,200,13.82,108.9,60,7.41,128.9,161,7.06,14.7,15,6.47,7,true
B1,184,904,false,true,39,349.4,13,29.49,296.0,112,72.98,425.2,103,85.88,17.2,2,5.46,7,true
,200,812,true,false,15,154.4,10,28.5,200.1,36,35.24,188.6,71,40.09,9.9,15,5.36,4,false
T,117,445,false,false,14,65.8,177,47.68,422.4,168,39.75,361.3,153,54.65,3.2,10,0.5,4,false
01,13,162,false,true,48,132.8,60,86.7,365.1,171,25.88,347.3,181,69.13,13.9,7,6.52,9,false
,102,889,false,false,30,306.1,57,22.87,246.1,12,25.22,24.5,171,4.83,1.6,0,1.97,8,true
18,70,846,true,true,45,413.1,36,46.62,147.1,45,86.85,121.6,123,89.83,8.9,9,5.76,8,true
,117,209,false,false,14,65.5,49,8.67,444.6,138,80.44,475.5,23,1.66,13.0,8,3.59,5,false
O,136,200,true,false,23,25.3,141,94.84,415.1,65,30.11,0.3,100,44.04,2.2,0,5.95,5,true
,181,21,true,false,23,442.2,5,18.56,166.1,20,16.11,344.5,14,69.3,14.5,7,9.3,8,false
,119,69,false,true,1,331.2,115,25.65,86.7,134,49.41,249.3,141,44.23,10.6,3,9.28,0,false
,109,571,true,true,3,63.3,20,88.68,446.9,186,64.57,225.9,4,84.54,0.3,1,0.73,10,false
,7,197,false,false,39,214.7,5,42.24,395.9,51,69.76,190.0,79,55.21,8.3,10,3.79,8,true
,2,444,true,false,14,129.3,168,98.56,298.3,109,33.69,464.3,85,0.12,9.2,19,0.76,1,true
,60,933,false,true,43,85.3,185,6.67,327.1,28,20.86,152.4,176,7.7,2.9,12,4.2,0,false
B6,52,117,false,true,49,169.2,145,47.06,133.2,173,98.33,386.9,84,24.98,12.4,15,6.7,10,true
A8,26,655,false,false,49,485.6,70,60.74,236.3,153,0.34,207.9,165,78.1,9.5,5,4.38,7,false
,59,248,true,true,11,485.9,139,21.17,330.1,2,87.82,474.8,127,10.1,16.4,5,3.31,1,false
,138,599,false,true,13,291.7,66,40.53,47.7,68,29.17,317.4,42,45.98,9.1,14,7.99,5,true
QC,40,450,true,false,46,104.6,113,73.43,119.0,80,27.38,215.9,58,74.36,2.3,19,7.33,10,true
,33,911,false,true,39,295.5,106,69.47,359.2,109,0.14,104.6,77,40.59,8.9,5,4.34,4,true
,200,361,true,true,38,282.2,24,90.58,239.0,15,76.32,20.7,159,56.07,4.9,8,2.07,10,false
11,165,816,true,false,11,367.2,149,24.37,30.0,80,67.61,278.5,134,62.44,2.1,16,6.49,5,true
03,45,162,false,true,32,422.4,142,2.53,11.4,53,20.9,199.3,149,39.18,11.0,9,4.22,4,false
,39,601,true,false,22,312.8,19,28.27,480.5,77,87.61,21.2,117,52.5,1.4,4,0.58,7,false
,169,383,false,false,46,454.1,162,62.57,470.6,81,48.59,229.8,49,33.42,18.1,6,0.35,1,true
,102,789,false,true,40,321.0,140,34.82,164.1,2,24.62,216.9,71,61.02,18.3,4,9.32,7,true
,148,623,true,false,45,249.3,145,45.3,464.4,116,74.26,476.8,2,25.12,14.0,1,5.8,6,false
,132,295,false,true,43,369.2,39,43.57,475.2,19,62.24,149.5,140,20.6,18.1,12,2.33,2,true
,81,274,false,false,35,436.5,1,63.03,59.7,65,94.61,273.9,151,96.35,8.3,14,6.0,8,false
,93,168,false,true,12,370.8,21,18.73,267.9,35,38.22,121.8,165,42.19,15.3,17,5.82,8,true
,175,860,true,false,1,473.1,59,60.73,66.4,2,55.57,183.8,53,85.5,9.7,3,7.15,4,false
,164,757,true,true,25,429.4,184,63.62,466.0,0,84.11,47.8,18,36.69,19.7,1,5.05,2,true
,158,717,false,false,43,56.8,74,70.2,287.4,60,27.36,203.6,117,14.45,15.2,14,9.29,5,false
,155,749,true,true,27,214.4,5,24.82,220.8,6,89.93,420.3,48,10.81,19.7,3,2.55,2,false
,96,264,true,false,50,320.5,5,48.85,347.8,187,85.57,466.8,179,27.76,15.8,2,3.66,10,true
,194,874,false,true,3,33.1,184,84.99,169.9,8,1.34,233.6,130,80.5,18.1,4,1.25,4,false
,63,615,true,true,28,444.9,175,67.46,257.8,21,4.57,416.6,80,16.47,9.6,19,0.84,10,true
,1,718,false,false,25,36.4,9,52.15,417.5,49,51.08,279.5,132,48.03,10.0,11,6.34,6,true
,111,704,true,false,22,319.1,128,66.55,65.9,138,77.81,354.7,131,72.44,0.8,12,5.41,10,true
BU,162,929,false,false,41,432.6,169,56.11,182.7,136,7.09,172.0,126,49.34,13.1,7,0.15,7,true
,35,971,true,true,9,457.8,161,62.67,211.7,118,99.8,378.0,17,16.29,4.4,20,3.62,5,false
,181,378,false,true,15,230.3,22,74.74,408.1,63,60.71,404.7,95,28.72,5.5,2,6.44,10,false
OAX,173,95,false,true,8,359.6,195,22.25,428.6,109,6.54,184.4,151,62.4,10.5,13,7.71,7,true
,62,51,true,false,16,285.5,11,90.73,110.5,31,75.16,290.1,95,7.25,2.5,4,8.95,3,false
,59,736,true,true,15,155.9,168,85.82,240.3,32,68.58,4.7,27,39.66,16.8,10,2.0,0,true
,180,760,false,false,46,476.4,48,63.37,145.8,157,6.63,127.4,168,35.09,6.2,2,3.13,4,true
,25,526,true,true,48,407.0,86,11.08,1.5,136,79.72,237.5,62,58.98,13.4,0,9.39,6,false
,89,847,false,true,31,93.1,14,17.01,101.1,12,92.22,18.1,173,65.12,6.3,12,1.73,0,false
,19,80,true,true,5,151.1,111,26.7,350.3,180,68.01,372.2,103,49.11,12.3,20,7.6,9,true
,136,938,true,false,45,272.8,94,89.15,131.2,61,77.48,65.1,125,38.0,17.7,14,2.37,5,false
,80,468,false,true,38,355.3,157,91.72,41.2,101,66.31,314.2,171,80.01,2.6,11,5.3,1,false
,26,834,true,false,40,471.4,13,34.19,260.0,19,81.48,372.4,197,54.32,7.3,20,8.19,5,false
,64,877,true,false,5,384.6,105,65.81,313.5,153,59.77,171.6,77,11.58,17.8,6,7.49,5,true
,8,804,false,true,49,208.8,186,64.45,153.0,59,14.64,497.1,138,71.74,10.4,10,6.9,8,false
,200,835,false,true,0,400.4,107,89.97,165.5,18,62.55,386.7,154,60.84,17.2,7,8.21,0,false
13,58,67,false,true,37,272.0,35,48.23,16.8,187,66.69,96.2,63,63.76,16.9,15,7.52,8,true
,36,844,false,true,45,304.5,146,4.19,104.9,156,99.79,176.1,29,7.75,18.2,8,8.11,9,true
,155,38,false,false,17,365.4,80,92.22,413.0,155,67.04,192.6,105,50.82,0.6,12,5.89,10,false
,85,706,false,false,22,128.4,134,92.53,265.8,112,98.95,174.8,174,96.4,5.9,19,8.72,6,true
IN,121,41,false,true,36,118.1,53,95.38,213.7,147,89.63,301.3,77,41.02,12.7,5,4.61,2,false
,190,718,false,true,38,299.2,62,35.54,466.5,103,8.4,51.3,102,79.82,12.4,4,1.38,2,true
,14,715,true,false,25,61.8,196,94.53,84.6,188,84.12,210.0,185,37.13,11.7,20,8.52,6,false
,28,821,true,true,45,276.2,125,33.55,128.5,71,26.54,275.5,62,67.7,8.3,19,3.63,4,false
,40,680,true,true,20,88.5,174,68.67,416.4,3,40.83,401.9,74,8.25,13.3,19,1.46,3,false
,133,456,true,false,42,395.4,47,51.26,418.8,187,56.74,463.2,65,39.83,7.2,6,4.73,2,false
SON,91,473,false,true,8,99.5,145,98.59,377.1,99,56.45,387.8,118,22.95,11.4,1,3.59,8,false
,30,187,false,true,28,362.4,35,1.36,160.8,92,72.01,469.0,107,26.35,14.1,16,7.64,1,false
,134,757,false,false,44,234.1,115,63.95,353.4,140,37.14,352.9,90,87.08,3.8,20,3.81,8,true
,176,138,false,false,41,311.6,163,4.02,142.6,161,2.16,78.5,10,91.91,16.1,18,6.49,2,false
,96,509,true,false,42,202.6,62,97.62,1.3,103,3.96,97.7,40,83.65,9.6,0,4.04,6,false
,73,211,true,true,17,110.4,165,58.97,453.2,171,89.49,372.2,151,50.08,7.7,10,4.84,7,false
,61,72,true,true,9,55.5,109,80.98,158.2,110,40.53,50.1,6,61.88,14.1,12,4.38,9,true
,74,935,true,true,7,145.3,177,11.1,57.9,7,33.51,132.8,81,21.1,7.1,10,7.98,7,true
,171,446,true,true,46,213.7,78,32.43,182.2,102,10.97,380.4,9,21.73,4.9,18,7.09,9,false
,103,836,true,false,45,315.5,144,81.53,274.3,51,83.29,417.2,91,38.14,9.3,3,9.39,3,false
,108,799,true,false,9,274.9,172,38.75,482.9,50,79.15,144.2,101,79.17,16.9,16,5.36,1,false
M,116,106,true,false,46,79.1,190,42.38,499.7,26,3.84,356.6,177,61.53,8.0,16,6.78,5,true
,72,624,true,true,32,465.5,96,63.54,427.4,162,8.57,311.9,130,54.76,12.2,2,8.54,5,false
,81,195,false,false,50,445.2,157,96.42,147.4,83,84.8,170.2,175,97.82,13.6,9,7.92,0,true
,1,441,false,true,9,270.0,100,41.06,215.5,153,49.85,36.5,186,43.81,7.5,20,2.45,4,true
05,147,15,false,true,2,220.5,85,23.22,7.2,1,88.78,345.7,129,22.1,9.0,6,2.0,7,true
,104,42,true,false,3,379.2,92,35.41,475.1,5,42.15,321.8,96,45.81,13.5,15,6.84,3,true
,115,513,true,true,16,127.5,24,78.11,148.2,176,62.52,380.2,2,23.12,8.0,2,0.74,1,true
,86,580,true,false,37,70.1,69,74.56,9.3,182,14.56,239.9,200,0.29,11.2,20,2.32,8,false
,87,347,true,false,0,272.0,42,96.04,428.7,156,61.8,424.5,36,12.04,15.5,7,4.16,5,false
,168,265,true,false,33,210.5,71,11.15,159.5,20,20.78,445.8,63,20.31,3.1,10,5.66,2,false
,108,979,true,false,14,132.5,148,31.34,332.4,195,3.84,153.6,70,99.55,13.1,1,1.25,7,true
,7,118,false,true,25,269.0,54,87.92,334.2,74,87.36,285.5,86,3.21,19.5,10,1.3,7,false
,133,720,false,false,35,445.7,195,13.61,70.3,198,28.42,413.9,182,16.72,1.2,5,1.1,7,false
,148,314,true,false,21,419.1,169,3.55,312.4,7,91.76,231.0,34,31.2,13.6,10,2.52,10,true
,156,641,false,true,39,399.1,7,57.41,237.3,153,70.12,85.4,128,67.87,4.8,16,7.92,2,false
11,103,552,true,false,39,65.6,152,46.66,396.4,134,87.3,157.2,187,97.87,6.0,2,2.5,9,false
,10,49,true,false,38,60.2,50,97.36,420.7,78,5.66,223.6,92,74.69,0.0,15,1.48,9,true
ON,8,701,true,true,44,195.9,161,94.7,336.8,110,13.31,438.6,139,50.86,18.0,10,1.28,5,false
11,108,978,true,false,37,169.5,191,66.94,486.3,14,16.04,306.0,123,98.74,14.3,18,7.99,8,false
,150,99,true,true,3,121.8,50,15.79,93.5,75,22.07,400.7,176,99.84,18.9,5,0.66,0,true
,106,320,true,false,0,307.8,189,93.15,439.3,128,86.02,203.7,157,60.63,5.4,11,0.28,3,true
09,97,742,true,false,29,20.2,124,65.13,120.0,139,90.97,456.8,67,50.09,8.4,16,3.22,7,true
,106,504,true,false,6,89.5,155,87.38,319.4,84,97.6,317.3,159,88.19,10.1,16,0.19,3,true
,79,175,false,false,50,477.3,121,29.74,69.4,146,70.33,181.9,180,33.76,17.6,15,1.6,0,false
,89,637,false,false,2,334.1,142,87.04,325.4,135,61.81,344.2,113,29.36,5.9,11,4.87,7,false
,73,448,false,false,1,338.4,140,73.7,333.2,46,93.5,177.8,16,18.05,4.8,9,3.88,7,false
B8,90,574,false,true,10,265.7,142,34.5,167.3,131,31.01,177.4,148,51.66,18.8,18,4.75,0,true
B6,171,99,false,false,50,469.6,45,62.26,462.8,146,28.28,48.0,144,76.67,10.3,14,6.68,2,true
,62,988,true,false,31,42.6,133,78.53,383.2,139,45.03,126.9,67,3.44,7.0,12,1.14,7,true
COA,73,577,true,false,16,380.5,77,80.31,204.7,66,24.14,291.9,139,62.14,4.6,14,7.05,10,true
,19,348,false,true,19,108.9,38,33.3,186.3,155,59.75,126.5,26,98.58,2.3,12,0.97,9,false
,106,142,false,true,0,390.4,84,49.17,183.0,95,84.49,220.9,56,49.5,0.8,0,7.15,4,false
,93,12,true,false,21,479.7,14,64.95,188.2,41,74.44,9.4,70,18.89,0.2,2,5.91,4,false
,132,703,true,true,39,25.2,104,65.05,335.0,62,86.78,250.5,182,84.33,7.1,0,3.46,4,true
,3,403,true,false,34,99.5,140,52.51,63.3,101,93.34,33.7,161,76.77,4.6,20,6.15,7,true
,104,162,true,false,2,297.2,174,33.09,217.6,10,62.96,223.7,10,58.87,18.4,7,5.98,2,false
,65,753,false,false,35,316.1,3,76.28,313.4,151,93.72,296.6,35,96.31,16.5,13,6.95,9,true
,45,861,false,false,11,360.2,54,17.23,405.9,31,3.27,492.6,65,34.92,8.8,13,5.46,7,false
,179,436,true,false,0,204.7,134,64.17,457.4,96,85.13,449.1,65,21.62,14.5,8,1.12,6,true
AB,189,272,false,true,34,314.1,82,26.88,243.4,149,0.12,353.0,170,16.26,12.8,7,9.01,5,true
,194,837,false,true,14,101.8,15,38.08,282.0,140,33.21,468.2,14,17.36,2.9,13,5.24,9,true
,63,379,true,false,33,262.9,53,10.4,467.9,137,78.45,140.3,168,61.55,18.2,14,5.11,1,false
,68,656,false,true,18,270.3,142,6.29,93.1,111,76.41,376.7,88,6.38,12.8,4,1.82,6,true
,153,880,false,false,38,321.6,124,59.42,274.7,35,91.7,435.8,97,40.37,16.5,9,3.5,2,false
,104,717,true,false,10,330.9,14,15.85,493.8,153,61.38,343.6,36,67.67,5.5,11,7.1,9,false
,70,583,true,true,6,41.8,199,89.24,93.9,173,70.55,432.0,134,54.68,18.0,9,7.72,3,true
,99,919,false,true,33,93.8,165,32.05,139.9,147,81.72,239.6,67,63.9,1.8,16,4.8,9,false
,41,229,true,false,22,59.7,122,94.98,50.0,19,13.9,176.1,11,97.45,11.9,7,5.48,9,false
,198,97,true,true,6,443.7,25,95.06,465.6,170,79.42,480.5,20,73.76,1.4,13,6.02,4,true
,157,726,true,true,19,125.8,124,81.24,59.7,97,96.21,117.6,159,1.03,5.7,1,7.05,8,false
14,160,910,true,false,21,469.3,143,53.7,213.1,154,0.3,218.3,45,4.98,15.0,20,3.38,8,false
D,186,268,true,true,17,289.4,103,45.06,314.1,3,99.11,430.2,29,34.38,0.3,20,3.75,9,true
,69,965,true,false,45,218.7,160,3.05,435.8,196,52.44,153.0,132,41.75,3.6,8,1.8,1,false
,104,255,true,true,36,320.8,130,38.37,374.5,108,49.0,118.7,88,54.29,0.4,9,2.92,9,true
,117,406,false,false,38,390.4,166,37.13,320.1,49,15.76,416.1,175,79.04,10.1,8,2.23,10,true
,37,132,true,true,14,111.3,108,85.58,404.2,152,95.18,170.2,89,0.28,6.4,14,3.67,2,false
,159,728,false,false,8,426.4,6,11.07,258.7,48,19.29,213.7,157,78.99,14.8,5,9.39,7,true
,174,720,true,false,3,343.6,112,1.19,350.2,84,32.93,370.7,21,68.1,18.2,11,3.45,10,false
,120,647,false,false,14,164.7,34,33.97,12.2,52,57.76,5.2,78,1.02,10.0,0,2.07,3,true
,61,972,false,true,26,172.5,19,33.52,285.1,21,83.31,134.9,33,62.39,7.1,6,0.31,1,false
,197,229,true,true,15,477.7,48,23.84,305.2,192,34.47,481.5,43,94.79,6.7,4,8.93,1,true
,170,603,true,true,14,135.0,170,64.8,491.2,57,70.17,174.2,196,38.72,7.7,0,5.44,5,false
SBH,180,37,true,true,22,20.2,96,55.14,169.5,122,74.22,208.9,121,51.98,16.5,7,1.37,0,true
